"","datas","novos.casos","pred_in_sample","pred_out_sample","type"
"1",2020-02-25,0,64.63,NA,"Training"
"2",2020-02-26,0,67.49,NA,"Training"
"3",2020-02-27,0,70.48,NA,"Training"
"4",2020-02-28,0,73.56,NA,"Training"
"5",2020-02-29,0,76.77,NA,"Training"
"6",2020-03-01,0,80.09,NA,"Training"
"7",2020-03-02,0,83.54,NA,"Training"
"8",2020-03-03,0,87.12,NA,"Training"
"9",2020-03-04,0,90.83,NA,"Training"
"10",2020-03-05,1,94.66,NA,"Training"
"11",2020-03-06,0,98.63,NA,"Training"
"12",2020-03-07,1,102.73,NA,"Training"
"13",2020-03-08,1,106.98,NA,"Training"
"14",2020-03-09,0,111.39,NA,"Training"
"15",2020-03-10,5,115.94,NA,"Training"
"16",2020-03-11,5,120.64,NA,"Training"
"17",2020-03-12,3,125.49,NA,"Training"
"18",2020-03-13,0,130.5,NA,"Training"
"19",2020-03-14,6,135.68,NA,"Training"
"20",2020-03-15,2,141.03,NA,"Training"
"21",2020-03-16,7,146.54,NA,"Training"
"22",2020-03-17,2,152.22,NA,"Training"
"23",2020-03-18,12,158.08,NA,"Training"
"24",2020-03-19,20,164.11,NA,"Training"
"25",2020-03-20,44,170.33,NA,"Training"
"26",2020-03-21,10,176.73,NA,"Training"
"27",2020-03-22,67,183.32,NA,"Training"
"28",2020-03-23,47,190.11,NA,"Training"
"29",2020-03-24,72,197.1,NA,"Training"
"30",2020-03-25,65,204.29,NA,"Training"
"31",2020-03-26,51,211.67,NA,"Training"
"32",2020-03-27,72,219.26,NA,"Training"
"33",2020-03-28,65,227.06,NA,"Training"
"34",2020-03-29,42,235.08,NA,"Training"
"35",2020-03-30,57,243.31,NA,"Training"
"36",2020-03-31,51,251.75,NA,"Training"
"37",2020-04-01,124,260.41,NA,"Training"
"38",2020-04-02,160,269.29,NA,"Training"
"39",2020-04-03,82,278.38,NA,"Training"
"40",2020-04-04,172,287.71,NA,"Training"
"41",2020-04-05,148,297.26,NA,"Training"
"42",2020-04-06,67,307.04,NA,"Training"
"43",2020-04-07,227,317.04,NA,"Training"
"44",2020-04-08,250,327.27,NA,"Training"
"45",2020-04-09,278,337.75,NA,"Training"
"46",2020-04-10,248,348.44,NA,"Training"
"47",2020-04-11,143,359.4,NA,"Training"
"48",2020-04-12,248,370.6,NA,"Training"
"49",2020-04-13,376,382,NA,"Training"
"50",2020-04-14,179,393.66,NA,"Training"
"51",2020-04-15,333,405.56,NA,"Training"
"52",2020-04-16,201,417.69,NA,"Training"
"53",2020-04-17,405,430.05,NA,"Training"
"54",2020-04-18,194,442.67,NA,"Training"
"55",2020-04-19,222,455.52,NA,"Training"
"56",2020-04-20,134,468.59,NA,"Training"
"57",2020-04-21,407,481.9,NA,"Training"
"58",2020-04-22,246,495.43,NA,"Training"
"59",2020-04-23,620,509.2,NA,"Training"
"60",2020-04-24,110,523.21,NA,"Training"
"61",2020-04-25,546,537.44,NA,"Training"
"62",2020-04-26,283,551.9,NA,"Training"
"63",2020-04-27,833,566.61,NA,"Training"
"64",2020-04-28,560,581.54,NA,"Training"
"65",2020-04-29,365,596.69,NA,"Training"
"66",2020-04-30,584,612.04,NA,"Training"
"67",2020-05-01,713,627.62,NA,"Training"
"68",2020-05-02,380,643.41,NA,"Training"
"69",2020-05-03,593,659.37,NA,"Training"
"70",2020-05-04,582,675.59,NA,"Training"
"71",2020-05-05,670,692.02,NA,"Training"
"72",2020-05-06,904,708.65,NA,"Training"
"73",2020-05-07,861,725.43,NA,"Training"
"74",2020-05-08,1585,742.42,NA,"Training"
"75",2020-05-09,1188,759.59,NA,"Training"
"76",2020-05-10,133,776.92,NA,"Training"
"77",2020-05-11,877,794.47,NA,"Training"
"78",2020-05-12,547,812.16,NA,"Training"
