"","datas","previsoes"
"1",2020-12-04,941
"2",2020-12-05,929
"3",2020-12-06,917
"4",2020-12-07,908
"5",2020-12-08,899
"6",2020-12-09,888
"7",2020-12-10,876
"8",2020-12-11,865
"9",2020-12-12,856
"10",2020-12-13,848
"11",2020-12-14,837
"12",2020-12-15,826
"13",2020-12-16,815
"14",2020-12-17,808
"15",2020-12-18,794
"16",2020-12-19,786
"17",2020-12-20,778
"18",2020-12-21,767
"19",2020-12-22,759
"20",2020-12-23,750
"21",2020-12-24,740
"22",2020-12-25,732
"23",2020-12-26,721
"24",2020-12-27,712
"25",2020-12-28,703
"26",2020-12-29,695
"27",2020-12-30,685
"28",2020-12-31,680
"29",2021-01-01,670
"30",2021-01-02,662
"31",2021-01-03,653
"32",2021-01-04,645
"33",2021-01-05,639
"34",2021-01-06,630
"35",2021-01-07,621
"36",2021-01-08,614
"37",2021-01-09,606
"38",2021-01-10,598
"39",2021-01-11,589.5
"40",2021-01-12,583
"41",2021-01-13,575
"42",2021-01-14,568
"43",2021-01-15,560
"44",2021-01-16,552
"45",2021-01-17,547
"46",2021-01-18,538
"47",2021-01-19,533
"48",2021-01-20,524
"49",2021-01-21,518
"50",2021-01-22,511
"51",2021-01-23,505
"52",2021-01-24,498
"53",2021-01-25,491
"54",2021-01-26,484
"55",2021-01-27,479
"56",2021-01-28,471
"57",2021-01-29,467
"58",2021-01-30,461
"59",2021-01-31,455
"60",2021-02-01,449
"61",2021-02-02,442
"62",2021-02-03,437
"63",2021-02-04,432
"64",2021-02-05,424
"65",2021-02-06,420
"66",2021-02-07,413
"67",2021-02-08,409
"68",2021-02-09,403
"69",2021-02-10,398
"70",2021-02-11,392
"71",2021-02-12,388
"72",2021-02-13,383
"73",2021-02-14,378
"74",2021-02-15,371
"75",2021-02-16,368
"76",2021-02-17,362
"77",2021-02-18,357
"78",2021-02-19,353.5
"79",2021-02-20,348
"80",2021-02-21,343
"81",2021-02-22,338
"82",2021-02-23,334
"83",2021-02-24,329
"84",2021-02-25,325
"85",2021-02-26,320
"86",2021-02-27,315.5
"87",2021-02-28,311
"88",2021-03-01,307
"89",2021-03-02,302
"90",2021-03-03,299
"91",2021-03-04,295
"92",2021-03-05,290
"93",2021-03-06,287
"94",2021-03-07,283
"95",2021-03-08,279
"96",2021-03-09,276
"97",2021-03-10,273
"98",2021-03-11,267
"99",2021-03-12,264
"100",2021-03-13,261
"101",2021-03-14,257
"102",2021-03-15,253.5
"103",2021-03-16,249
"104",2021-03-17,247
"105",2021-03-18,243
"106",2021-03-19,240
"107",2021-03-20,237
"108",2021-03-21,234
"109",2021-03-22,230
"110",2021-03-23,227
"111",2021-03-24,222
"112",2021-03-25,220
"113",2021-03-26,218
"114",2021-03-27,213
"115",2021-03-28,213
"116",2021-03-29,209
"117",2021-03-30,206
"118",2021-03-31,204
"119",2021-04-01,199
"120",2021-04-02,197
"121",2021-04-03,195
"122",2021-04-04,191
"123",2021-04-05,189
"124",2021-04-06,187
"125",2021-04-07,184
"126",2021-04-08,181
"127",2021-04-09,179
"128",2021-04-10,177
"129",2021-04-11,174
"130",2021-04-12,171
"131",2021-04-13,169
"132",2021-04-14,166
"133",2021-04-15,164
"134",2021-04-16,162
"135",2021-04-17,159
"136",2021-04-18,158
"137",2021-04-19,155
"138",2021-04-20,153
"139",2021-04-21,151
"140",2021-04-22,149
"141",2021-04-23,147
"142",2021-04-24,145
"143",2021-04-25,143
"144",2021-04-26,141
"145",2021-04-27,139
"146",2021-04-28,136
"147",2021-04-29,135
"148",2021-04-30,133
"149",2021-05-01,131
"150",2021-05-02,129
"151",2021-05-03,127
"152",2021-05-04,126
"153",2021-05-05,124
"154",2021-05-06,121.5
"155",2021-05-07,121
"156",2021-05-08,118
"157",2021-05-09,117
"158",2021-05-10,115
"159",2021-05-11,114
"160",2021-05-12,111
"161",2021-05-13,111
"162",2021-05-14,109
"163",2021-05-15,107
"164",2021-05-16,106
"165",2021-05-17,105
"166",2021-05-18,103
"167",2021-05-19,101
"168",2021-05-20,100
"169",2021-05-21,99
"170",2021-05-22,97
"171",2021-05-23,95
"172",2021-05-24,95
"173",2021-05-25,92
"174",2021-05-26,92
"175",2021-05-27,90
"176",2021-05-28,89
"177",2021-05-29,87
"178",2021-05-30,87
"179",2021-05-31,86
"180",2021-06-01,84
"181",2021-06-02,83
"182",2021-06-03,81.5
"183",2021-06-04,80
"184",2021-06-05,80
"185",2021-06-06,78
"186",2021-06-07,77
"187",2021-06-08,76
"188",2021-06-09,75
"189",2021-06-10,73
"190",2021-06-11,72
"191",2021-06-12,72
"192",2021-06-13,71
"193",2021-06-14,70
"194",2021-06-15,69
"195",2021-06-16,68
"196",2021-06-17,67
"197",2021-06-18,66
"198",2021-06-19,65
"199",2021-06-20,63
"200",2021-06-21,63
"201",2021-06-22,62
"202",2021-06-23,61
"203",2021-06-24,60
"204",2021-06-25,60
"205",2021-06-26,59
"206",2021-06-27,58
"207",2021-06-28,57
"208",2021-06-29,56
"209",2021-06-30,55
"210",2021-07-01,54
"211",2021-07-02,54
"212",2021-07-03,53
"213",2021-07-04,53
"214",2021-07-05,51
"215",2021-07-06,51
"216",2021-07-07,50
"217",2021-07-08,49
"218",2021-07-09,48
"219",2021-07-10,48
"220",2021-07-11,47
"221",2021-07-12,46
"222",2021-07-13,46
"223",2021-07-14,45
"224",2021-07-15,45
"225",2021-07-16,44
"226",2021-07-17,43
"227",2021-07-18,42
"228",2021-07-19,42
"229",2021-07-20,41
"230",2021-07-21,41
"231",2021-07-22,40
