Training,Data,Obs,Point,Lwr,Upr
01/06/2020, 02/06/2020, 118295, 107709, 99965, 116170
01/06/2020, 03/06/2020, 123483, 111180, 102875, 120181
01/06/2020, 04/06/2020, 129200, 114649, 105966, 124260
01/06/2020, 05/06/2020, 134565, 118129, 108959, 128309
01/06/2020, 06/06/2020, 140549, 121627, 111901, 132385
01/06/2020, 07/06/2020, 143073, 125148, 114895, 136451
01/06/2020, 08/06/2020, 144593, 128695, 118022, 140525
01/06/2020, 09/06/2020, 150138, 132270, 121016, 144769
01/06/2020, 10/06/2020, 156316, 135875, 123925, 149080
01/06/2020, 11/06/2020, 162520, 139511, 126849, 153439
01/06/2020, 12/06/2020, 167900, 143178, 129720, 157984
01/06/2020, 13/06/2020, 172875, 146878, 132601, 162489
01/06/2020,14/06/2020,178202,150609,135491,166964
01/06/2020, 15/06/2020,181460,154373,138390,171699
11/06/2020,12/06/2020,167900,161607,151622,172693
11/06/2020,13/06/2020,172875,166396,155698,178070
11/06/2020,14/06/2020,178202,171252,159833,183653
11/06/2020,15/06/2020,181460,176180,164163,189255
11/06/2020,16/06/2020,190285,181183,168565,194987
11/06/2020,17/06/2020,191517,186263,172898,200921
11/06/2020,18/06/2020,192628,191423,177412,206889
11/06/2020,19/06/2020,211658,196664,181858,213073
11/06/2020,20/06/2020,215793,201990,186438,219356
11/06/2020,21/06/2020,219185,207401,190858,225931
11/06/2020,22/06/2020,221973,212899,195383,232364
11/06/2020,23/06/2020,229475,218486,200054,239050
11/06/2020,24/06/2020,238822,224163,204667,245658
11/06/2020,25/06/2020,248587,229931,209563,252798
18/06/2020,19/06/2020,211658,196420,181394,212829
18/06/2020,20/06/2020,215793,201225,185509,218416
18/06/2020,21/06/2020,219185,206005,189762,223934
18/06/2020,22/06/2020,221973,210769,194082,229222
18/06/2020,23/06/2020,229475,215524,198384,234888
18/06/2020,24/06/2020,238822,220276,202477,240543
18/06/2020,25/06/2020,248587,225027,206308,246156
18/06/2020,26/06/2020,258508,229781,210702,251711
18/06/2020,27/06/2020,265581,234540,215223,257127
18/06/2020,28/06/2020,271737,239306,219308,262724
18/06/2020,29/06/2020,275145,244079,223461,267987
18/06/2020,30/06/2020,281380,248861,227494,273629
18/06/2020,01/07/2020,289935,253653,231522,279719
18/06/2020,02/07/2020,302179,258454,235395,285381
21/06/2020,21/06/2020,219185,213337,179017,252525
21/06/2020,22/06/2020,221973,220053,184709,260575
21/06/2020,23/06/2020,229475,226934,190488,268833
21/06/2020,24/06/2020,238822,233981,196556,277108
21/06/2020,25/06/2020,248587,241197,202730,285567
21/06/2020,26/06/2020,258508,248585,209070,294213
21/06/2020,27/06/2020,265581,256148,215576,303049
21/06/2020,28/06/2020,271737,263888,222246,312071
21/06/2020,29/06/2020,275145,271809,229091,321287
21/06/2020,30/06/2020,281380,279913,236113,330838
21/06/2020,01/07/2020,289935,288203,243204,340790
21/06/2020,02/07/2020,302179,296682,250367,350971
21/06/2020,03/07/2020,310517,305353,257696,361013
21/06/2020,04/07/2020,312530,314219,265194,371492
10/07/2020,11/07/2020,366890,352859,298750,416437
10/07/2020,12/07/2020,371997,361064,305691,425970
10/07/2020,13/07/2020,374607,369358,312938,435683
10/07/2020,14/07/2020,386607,377742,320397,445495
10/07/2020,15/07/2020,393176,386217,327894,455406
10/07/2020,16/07/2020,402048,394786,335544,465418
10/07/2020,17/07/2020,407415,403450,343185,475531
10/07/2020,18/07/2020,412027,412208,350898,485745
10/07/2020,19/07/2020,415049,421062,358854,496062
10/07/2020,20/07/2020,416434,430012,366868,506482
10/07/2020,21/07/2020,422669,439058,374908,517003
10/07/2020,22/07/2020,439446,448202,383048,527627
10/07/2020,23/07/2020,452007,457442,390548,538353
10/07/2020,24/07/2020,463218,466779,398633,549181
18/07/2020,20/07/2020,416434,430622,380745,490261
18/07/2020,21/07/2020,422669,438155,387562,498267
18/07/2020,22/07/2020,439446,445702,394399,506266
18/07/2020,23/07/2020,452007,453259,401255,514256
18/07/2020,24/07/2020,463218,460827,408144,522237
18/07/2020,25/07/2020,479481,468403,415237,530205
18/07/2020,26/07/2020,483982,475986,422351,538239
18/07/2020,27/07/2020,487654,483573,429486,546516
18/07/2020,28/07/2020,500301,491164,436645,554784
18/07/2020,29/07/2020,514197,498757,443821,563040
18/07/2020,30/07/2020,529006,506349,450891,571283
18/07/2020,31/07/2020,542304,513940,458202,579452
18/07/2020,01/08/2020,552318,521528,465403,587470
18/07/2020,02/08/2020,558685,529110,472614,595465
20/11/2020,22/11/2020,1209588,1199631,1054215,1373469
20/11/2020,23/11/2020,1210625,1204916,1059292,1379445
20/11/2020,24/11/2020,1215844,1210286,1064458,1385278
20/11/2020,25/11/2020,1224744,1215742,1069715,1390659
20/11/2020,26/11/2020,1229267,1221285,1075062,1396112
20/11/2020,27/11/2020,1233587,1226915,1080503,1401820
20/11/2020,28/11/2020,1238094,1232633,1086043,1408079
20/11/2020,29/11/2020,1240473,1238441,1091679,1414432
20/11/2020,30/11/2020,1241653,1244339,1097412,1420878
20/11/2020,01/12/2020,1250590,1250328,1103242,1427167
20/11/2020,02/12/2020,1259704,1256410,1109171,1433485
20/11/2020,03/12/2020,1267912,1262585,1115201,1439890
20/11/2020,04/12/2020,1276149,1268855,1121332,1446383
20/11/2020,05/12/2020,1285087,1275220,1127566,1452963
27/11/2020,28/11/2020,1238094,1236172,1088703,1411725
27/11/2020,29/11/2020,1240473,1241947,1094246,1417959
27/11/2020,30/11/2020,1241653,1247811,1099880,1424281
27/11/2020,01/12/2020,1250590,1253766,1105605,1430691
27/11/2020,02/12/2020,1259704,1259812,1111424,1437190
27/11/2020,03/12/2020,1267912,1265950,1117337,1443779
27/11/2020,04/12/2020,1276149,1272182,1123346,1450283
27/11/2020,05/12/2020,1285087,1278508,1129451,1456836
27/11/2020,06/12/2020,1287762,1284930,1135655,1463478
27/11/2020,07/12/2020,1288878,1291449,1141958,1470209
27/11/2020,08/12/2020,1296801,1298065,1148361,1477030
27/11/2020,09/12/2020,1306585,1304781,1154866,1483940
27/11/2020,10/12/2020,1316371,1311596,1161474,1490941
27/11/2020,11/12/2020,1325162,1318512,1168186,1498034
04/12/2020,06/12/2020,1287762,1286204,1136571,1465477
04/12/2020,07/12/2020,1288878,1292640,1142791,1472125
04/12/2020,08/12/2020,1296801,1299175,1149112,1478865
04/12/2020,09/12/2020,1306585,1305810,1155536,1485697
04/12/2020,10/12/2020,1316371,1312545,1162062,1492621
04/12/2020,11/12/2020,1325162,1319382,1168694,1499639
04/12/2020,12/12/2020,1333763,1326321,1175431,1506750
04/12/2020,13/12/2020,1334703,1333364,1182276,1513953
04/12/2020,14/12/2020,1337016,1340512,1189229,1521253
04/12/2020,15/12/2020,1341428,1347767,1196292,1528649
04/12/2020,16/12/2020,1341428,1355128,1203466,1536142
04/12/2020,17/12/2020,1361731,1362597,1210752,1543734
04/12/2020,18/12/2020,1371653,1370176,1218152,1551424
04/12/2020,19/12/2020,1384100,1377865,1225667,1559209
11/12/2020,12/12/2020,1333763,1324602,1173482,1506057
11/12/2020,13/12/2020,1334703,1331559,1180233,1513311
11/12/2020,14/12/2020,1337016,1338620,1187092,1520657
11/12/2020,15/12/2020,1341428,1345786,1194059,1528097
11/12/2020,16/12/2020,1341428,1353058,1201135,1535630
11/12/2020,17/12/2020,1361731,1360437,1208320,1543259
11/12/2020,18/12/2020,1371653,1367924,1215382,1550982
11/12/2020,19/12/2020,1384100,1375520,1222546,1558802
11/12/2020,20/12/2020,1384100,1383227,1229813,1566718
11/12/2020,21/12/2020,1388043,1391044,1237184,1574732
11/12/2020,22/12/2020,1398757,1398975,1244660,1582843
11/12/2020,23/12/2020,1409140,1407018,1252243,1591053
11/12/2020,24/12/2020,1418491,1415176,1259933,1599355
11/12/2020,25/12/2020,1422087,1423450,1267730,1607747
18/12/2020,20/12/2020,1384100,1381652,1228773,1563572
18/12/2020,21/12/2020,1388043,1389291,1236388,1571266
18/12/2020,22/12/2020,1398757,1397027,1244113,1579035
18/12/2020,23/12/2020,1409140,1404860,1251947,1586879
18/12/2020,24/12/2020,1418491,1412792,1259892,1594799
18/12/2020,25/12/2020,1422087,1420823,1267949,1602795
18/12/2020,26/12/2020,1423340,1428953,1276119,1610867
18/12/2020,27/12/2020,1426176,1437184,1284403,1619015
18/12/2020,28/12/2020,1427752,1445516,1292802,1627239
18/12/2020,29/12/2020,1440229,1453950,1301316,1635540
18/12/2020,30/12/2020,1452078,1462486,1309590,1644368
18/12/2020,31/12/2020,1462297,1471125,1317752,1653526
18/12/2020,01/01/2021,1466191,1479867,1326015,1662794
18/12/2020,02/01/2021,1467953,1488714,1334381,1672162
15/01/2021,18/01/2021,1628272,1601827,1444160,1784260
15/01/2021,19/01/2021,1644225,1611426,1453565,1793581
15/01/2021,20/01/2021,1658636,1621146,1463118,1803014
15/01/2021,21/01/2021,1670754,1630988,1472813,1812289
15/01/2021,22/01/2021,1679759,1640952,1482720,1821448
15/01/2021,23/01/2021,1694355,1651039,1493128,1830687
15/01/2021,24/01/2021,1699427,1661250,1503687,1840007
15/01/2021,25/01/2021,1702294,1671584,1514398,1849729
15/01/2021,26/01/2021,1715253,1682043,1525261,1859871
15/01/2021,27/01/2021,1731294,1692627,1536278,1870113
15/01/2021,28/01/2021,1746070,1703337,1547450,1880455
15/01/2021,29/01/2021,1759957,1714172,1558778,1890897
15/01/2021,30/01/2021,1773024,1725134,1570262,1901440
15/01/2021,31/01/2021,1777368,1736223,1581904,1912083
28/01/2021,30/01/2021,1773024,1730682,1574558,1909075
28/01/2021,31/01/2021,1777368,1741842,1586156,1919701
28/01/2021,01/02/2021,1779722,1753132,1597909,1930437
28/01/2021,02/02/2021,1794019,1764552,1609816,1941521
28/01/2021,03/02/2021,1807009,1776102,1621879,1952787
28/01/2021,04/02/2021,1820941,1787782,1633924,1964170
28/01/2021,05/02/2021,1833163,1799592,1645483,1975669
28/01/2021,06/02/2021,1845086,1811533,1657179,1987826
28/01/2021,07/02/2021,1849334,1823605,1669014,1999187
28/01/2021,08/02/2021,1851776,1835808,1680987,2010927
28/01/2021,09/02/2021,1864977,1848142,1693099,2022895
28/01/2021,10/02/2021,1878802,1860607,1705350,2034947
28/01/2021,11/02/2021,1889969,1873203,1717756,2046050
28/01/2021,12/02/2021,1901574,1885930,1731091,2058824
04/02/2021,07/02/2021,1849334,1808341,1655528,1981864
04/02/2021,08/02/2021,1851776,1820512,1667564,1994204
04/02/2021,09/02/2021,1864977,1832817,1679749,2006667
04/02/2021,10/02/2021,1878802,1845256,1692082,2019252
04/02/2021,11/02/2021,1889969,1857829,1704563,2031933
04/02/2021,12/02/2021,1901574,1870537,1717194,2044479
04/02/2021,13/02/2021,1911411,1883379,1729974,2057149
04/02/2021,14/02/2021,1913598,1896354,1742903,2068979
04/02/2021,15/02/2021,1915914,1909464,1755982,2081330
04/02/2021,16/02/2021,1927410,1922707,1769211,2093256
04/02/2021,17/02/2021,1938712,1936084,1782589,2106197
04/02/2021,18/02/2021,1949459,1949593,1796121,2118943
04/02/2021,19/02/2021,1960564,1963236,1810415,2132408
04/02/2021,20/02/2021,1971423,1977011,1825163,2145991
26/02/2021,27/02/2021,2037267,2011859,1860065,2179551
26/02/2021,28/02/2021,2041628,2021575,1869972,2188769
26/02/2021,01/03/2021,2044699,2031270,1879978,2197772
26/02/2021,02/03/2021,2054867,2040945,1889739,2206752
26/02/2021,03/03/2021,2068616,2050598,1899607,2215707
26/02/2021,04/03/2021,2080852,2060229,1909469,2224637
26/02/2021,05/03/2021,2093924,2069836,1919325,2233532
26/02/2021,06/03/2021,2107687,2079419,1928980,2242415
26/02/2021,07/03/2021,2113738,2088977,1938590,2251577
26/02/2021,08/03/2021,2117962,2098511,1948186,2260715
26/02/2021,09/03/2021,2134020,2108018,1957766,2270026
26/02/2021,10/03/2021,2149561,2117500,1967330,2278996
26/02/2021,11/03/2021,2164066,2126954,1976878,2288270
26/02/2021,12/03/2021,2179786,2136382,1986408,2297080
03/03/2021,04/03/2021,2080852,2068634,1917936,2231928
03/03/2021,05/03/2021,2093924,2078934,1928508,2241449
03/03/2021,06/03/2021,2107687,2089227,1938979,2251269
03/03/2021,07/03/2021,2113738,2099511,1949324,2261209
03/03/2021,08/03/2021,2117962,2109786,1959671,2271837
03/03/2021,09/03/2021,2134020,2120052,1970020,2280978
03/03/2021,10/03/2021,2149561,2130307,1980369,2290885
03/03/2021,11/03/2021,2164066,2140550,1990737,2300554
03/03/2021,12/03/2021,2179786,2150782,2001504,2310804
