Training,Data,Obs,Point,Lwr,Upr,SE,APE,contains,width
01/06/2020, 02/06/2020,118295,107709,99965,116170,112063396,0.089488144046663,False,16205
01/06/2020, 03/06/2020,123483,111180,102875,120181,151363809,0.0996331478827045,False,17306
01/06/2020, 04/06/2020,129200,114649,105966,124260,211731601,0.11262383900928792,False,18294
01/06/2020, 05/06/2020,134565,118129,108959,128309,270142096,0.12214171589937949,False,19350
01/06/2020, 06/06/2020,140549,121627,111901,132385,358042084,0.13462920404983317,False,20484
01/06/2020, 07/06/2020,143073,125148,114895,136451,321305625,0.12528569331739742,False,21556
01/06/2020, 08/06/2020,144593,128695,118022,140525,252746404,0.10994999757941255,False,22503
01/06/2020, 09/06/2020,150138,132270,121016,144769,319265424,0.11901051033049595,False,23753
01/06/2020, 10/06/2020,156316,135875,123925,149080,417834481,0.13076716394994753,False,25155
01/06/2020, 11/06/2020,162520,139511,126849,153439,529414081,0.1415764213635245,False,26590
01/06/2020, 12/06/2020,167900,143178,129720,157984,611177284,0.1472424061941632,False,28264
01/06/2020, 13/06/2020,172875,146878,132601,162489,675844009,0.15038033261026754,False,29888
01/06/2020,14/06/2020,178202,150609,135491,166964,761373649,0.15484113534079302,False,31473
01/06/2020, 15/06/2020,181460,154373,138390,171699,733705569,0.1492725669569051,False,33309
11/06/2020,12/06/2020,167900,161607,151622,172693,39601849,0.03748064324002382,True,21071
11/06/2020,13/06/2020,172875,166396,155698,178070,41977441,0.037477946493130875,True,22372
11/06/2020,14/06/2020,178202,171252,159833,183653,48302500,0.03900068461633427,True,23820
11/06/2020,15/06/2020,181460,176180,164163,189255,27878400,0.029097321723795876,True,25092
11/06/2020,16/06/2020,190285,181183,168565,194987,82846404,0.04783351288856189,True,26422
11/06/2020,17/06/2020,191517,186263,172898,200921,27604516,0.027433595973203422,True,28023
11/06/2020,18/06/2020,192628,191423,177412,206889,1452025,0.0062555807047781214,True,29477
11/06/2020,19/06/2020,211658,196664,181858,213073,224820036,0.07084069583951469,True,31215
11/06/2020,20/06/2020,215793,201990,186438,219356,190522809,0.06396407668460052,True,32918
11/06/2020,21/06/2020,219185,207401,190858,225931,138862656,0.05376280311152679,True,35073
11/06/2020,22/06/2020,221973,212899,195383,232364,82337476,0.04087884562536885,True,36981
11/06/2020,23/06/2020,229475,218486,200054,239050,120758121,0.047887569452010025,True,38996
11/06/2020,24/06/2020,238822,224163,204667,245658,214886281,0.061380442337808074,True,40991
11/06/2020,25/06/2020,248587,229931,209563,252798,348046336,0.07504817226966816,True,43235
18/06/2020,19/06/2020,211658,196420,181394,212829,232196644,0.07199349894641355,True,31435
18/06/2020,20/06/2020,215793,201225,185509,218416,212226624,0.06750914070428606,True,32907
18/06/2020,21/06/2020,219185,206005,189762,223934,173712400,0.06013185208841846,True,34172
18/06/2020,22/06/2020,221973,210769,194082,229222,125529616,0.05047460727205561,True,35140
18/06/2020,23/06/2020,229475,215524,198384,234888,194630401,0.06079529360496786,True,36504
18/06/2020,24/06/2020,238822,220276,202477,240543,343954116,0.0776561623301036,True,38066
18/06/2020,25/06/2020,248587,225027,206308,246156,555073600,0.09477567209870186,False,39848
18/06/2020,26/06/2020,258508,229781,210702,251711,825240529,0.11112615470314265,False,41009
18/06/2020,27/06/2020,265581,234540,215223,257127,963543681,0.11687959605544071,False,41904
18/06/2020,28/06/2020,271737,239306,219308,262724,1051769761,0.11934701568060294,False,43416
18/06/2020,29/06/2020,275145,244079,223461,267987,965096356,0.11290773955550709,False,44526
18/06/2020,30/06/2020,281380,248861,227494,273629,1057485361,0.11556969223114649,False,46135
18/06/2020,01/07/2020,289935,253653,231522,279719,1316383524,0.12513839308810595,False,48197
